Field,Variable,Percentage,Gender,Prop_Top,Representation
Engineering,Degree,0.17419585912658622,female,78,0.9380533430141451
Engineering,Degree,0.8258041408734138,male,78,1.0141267859008887
Engineering,Degree,0.17419585912658622,female,79,0.9380533430141451
Engineering,Degree,0.8258041408734138,male,79,1.0141267859008887
Engineering,Degree,0.17419585912658622,female,80,0.9380533430141451
Engineering,Degree,0.8258041408734138,male,80,1.0141267859008887
Engineering,Degree,0.17419585912658622,female,81,0.9380533430141451
Engineering,Degree,0.8258041408734138,male,81,1.0141267859008887
Engineering,Degree,0.17419585912658622,female,82,0.9380533430141451
Engineering,Degree,0.8258041408734138,male,82,1.0141267859008887
Engineering,Degree,0.17419585912658622,female,83,0.9380533430141451
Engineering,Degree,0.8258041408734138,male,83,1.0141267859008887
Engineering,Degree,0.17419585912658622,female,84,0.9380533430141451
Engineering,Degree,0.8258041408734138,male,84,1.0141267859008887
Engineering,Degree,0.17419585912658622,female,85,0.9380533430141451
Engineering,Degree,0.8258041408734138,male,85,1.0141267859008887
Engineering,Degree,0.18569931062434208,female,86,1.0000000000000002
Engineering,Degree,0.8143006893756579,male,86,1.0
Geology,Productivity,0.07900999524036173,female,1,0.4713178570447188
Geology,Productivity,0.9209900047596382,male,1,1.1064754945425799
Geology,Productivity,0.0971606565233018,female,2,0.579591889384487
Geology,Productivity,0.9028393434766984,male,2,1.0846693274663615
Geology,Productivity,0.10859020497574716,female,3,0.6477725071304736
Geology,Productivity,0.8914097950242529,male,3,1.0709378914996721
Geology,Productivity,0.11150747986191024,female,4,0.6651749097451541
Geology,Productivity,0.8884925201380898,male,4,1.06743308346082
Geology,Productivity,0.1187666711876667,female,5,0.7084781208024984
Geology,Productivity,0.8812333288123333,male,5,1.0587119059554877
Geology,Productivity,0.1209158027018536,female,6,0.7212983223060215
Geology,Productivity,0.8790841972981464,male,6,1.0561299437814058
Geology,Productivity,0.12455121967587154,female,7,0.7429846536675861
Geology,Productivity,0.8754487803241284,male,7,1.051762361317528
Geology,Productivity,0.12684929965685998,female,8,0.7566933765786784
Geology,Productivity,0.87315070034314,male,8,1.049001452762254
Geology,Productivity,0.13081016879468266,female,9,0.7803211258070379
Geology,Productivity,0.8691898312053173,male,9,1.0442428727391901
Geology,Productivity,0.13081016879468266,female,10,0.7803211258070379
